N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
160,5,10005,0.0010121381619185854,time_limit_with_witness,1,0.5051951469995402,70148.0,89,8.89672975290523e-08,False,0.9999999999998407,True,False
160,6,10006,0.015342735958853382,time_limit_with_witness,1,0.5023707519994787,26982.0,26982,2.69779494743716e-05,False,1.0,True,False
160,7,10007,0.0002681804551514233,time_limit_with_witness,1,0.5072627869994903,453.0,453,4.5468362941392115e-07,False,0.9999999989473793,True,False
200,0,10000,0.00015364502340275976,time_limit_with_witness,1,0.5037618589994963,5410.0,5410,5.4110751079861075e-06,False,0.999815157116451,True,False
200,1,10001,0.0005317008861851491,time_limit_with_witness,1,0.5031707359994471,60969.0,60969,6.096407163624917e-05,False,0.9999835982220473,True,False
200,2,10002,0.002442369933184807,time_limit_with_witness,1,0.5017972300011024,10454.0,10454,1.045661005605325e-05,False,0.9999043428352784,True,False
200,3,10003,0.0065898317625894265,time_limit_with_witness,1,0.5042637320002541,3056.0,3056,3.0584565422486776e-06,False,0.9999999997561982,True,False
200,4,10004,0.006352003356404623,time_limit_with_witness,1,0.5020987710013287,4727.0,4727,4.7237383284937096e-06,False,0.9997884493336154,True,False
200,5,10005,0.0011525994619674407,time_limit_with_witness,1,0.5043670720006048,25968.0,25968,2.59711493413306e-05,False,0.9999999999731736,True,False
200,6,10006,0.015035460798763722,time_limit_with_witness,1,0.5032647370007908,8247.0,8247,8.247163179930794e-06,False,1.0,True,False
200,7,10007,0.0007204777911198335,time_limit_with_witness,1,0.5025199739993695,2296.0,2296,2.2942919031265774e-06,False,0.9995644599303136,True,False
